trainingdata,dim,n,m,track,rank,step,l
jrnd,30,6,5,opt,b,1,6632
jrnd,30,6,5,opt,b,2,7042
jrnd,30,6,5,opt,b,3,7260
jrnd,30,6,5,opt,b,4,7260
jrnd,30,6,5,opt,b,5,7234
jrnd,30,6,5,opt,b,6,7416
jrnd,30,6,5,opt,b,7,7522
jrnd,30,6,5,opt,b,8,7592
jrnd,30,6,5,opt,b,9,7702
jrnd,30,6,5,opt,b,10,7648
jrnd,30,6,5,opt,b,11,7548
jrnd,30,6,5,opt,b,12,7486
jrnd,30,6,5,opt,b,13,7286
jrnd,30,6,5,opt,b,14,7272
jrnd,30,6,5,opt,b,15,7128
jrnd,30,6,5,opt,b,16,6898
jrnd,30,6,5,opt,b,17,6680
jrnd,30,6,5,opt,b,18,6436
jrnd,30,6,5,opt,b,19,6038
jrnd,30,6,5,opt,b,20,5572
jrnd,30,6,5,opt,b,21,5072
jrnd,30,6,5,opt,b,22,4506
jrnd,30,6,5,opt,b,23,3836
jrnd,30,6,5,opt,b,24,3198
jrnd,30,6,5,opt,b,25,2390
jrnd,30,6,5,opt,b,26,1750
jrnd,30,6,5,opt,b,27,1072
jrnd,30,6,5,opt,b,28,490
jrnd,30,6,5,opt,b,29,106
jrnd,30,6,5,opt,b,30,0
jrnd,30,6,5,opt,f,1,5140
jrnd,30,6,5,opt,f,2,5372
jrnd,30,6,5,opt,f,3,5568
jrnd,30,6,5,opt,f,4,5434
jrnd,30,6,5,opt,f,5,5380
jrnd,30,6,5,opt,f,6,5390
jrnd,30,6,5,opt,f,7,5438
jrnd,30,6,5,opt,f,8,5538
jrnd,30,6,5,opt,f,9,5534
jrnd,30,6,5,opt,f,10,5432
jrnd,30,6,5,opt,f,11,5376
jrnd,30,6,5,opt,f,12,5350
jrnd,30,6,5,opt,f,13,5160
jrnd,30,6,5,opt,f,14,5120
jrnd,30,6,5,opt,f,15,4930
jrnd,30,6,5,opt,f,16,4916
jrnd,30,6,5,opt,f,17,4864
jrnd,30,6,5,opt,f,18,4716
jrnd,30,6,5,opt,f,19,4598
jrnd,30,6,5,opt,f,20,4312
jrnd,30,6,5,opt,f,21,3942
jrnd,30,6,5,opt,f,22,3564
jrnd,30,6,5,opt,f,23,3140
jrnd,30,6,5,opt,f,24,2708
jrnd,30,6,5,opt,f,25,2156
jrnd,30,6,5,opt,f,26,1652
jrnd,30,6,5,opt,f,27,1060
jrnd,30,6,5,opt,f,28,490
jrnd,30,6,5,opt,f,29,106
jrnd,30,6,5,opt,f,30,0
jrnd,30,6,5,opt,p,1,4550
jrnd,30,6,5,opt,p,2,4650
jrnd,30,6,5,opt,p,3,4780
jrnd,30,6,5,opt,p,4,4760
jrnd,30,6,5,opt,p,5,4760
jrnd,30,6,5,opt,p,6,4810
jrnd,30,6,5,opt,p,7,4830
jrnd,30,6,5,opt,p,8,4858
jrnd,30,6,5,opt,p,9,4888
jrnd,30,6,5,opt,p,10,4872
jrnd,30,6,5,opt,p,11,4834
jrnd,30,6,5,opt,p,12,4850
jrnd,30,6,5,opt,p,13,4720
jrnd,30,6,5,opt,p,14,4746
jrnd,30,6,5,opt,p,15,4632
jrnd,30,6,5,opt,p,16,4600
jrnd,30,6,5,opt,p,17,4514
jrnd,30,6,5,opt,p,18,4354
jrnd,30,6,5,opt,p,19,4222
jrnd,30,6,5,opt,p,20,4020
jrnd,30,6,5,opt,p,21,3732
jrnd,30,6,5,opt,p,22,3414
jrnd,30,6,5,opt,p,23,3032
jrnd,30,6,5,opt,p,24,2642
jrnd,30,6,5,opt,p,25,2124
jrnd,30,6,5,opt,p,26,1634
jrnd,30,6,5,opt,p,27,1058
jrnd,30,6,5,opt,p,28,490
jrnd,30,6,5,opt,p,29,106
jrnd,30,6,5,opt,p,30,0
jrnd,30,6,5,cma,b,1,6632
jrnd,30,6,5,cma,b,2,6778
jrnd,30,6,5,cma,b,3,6918
jrnd,30,6,5,cma,b,4,7040
jrnd,30,6,5,cma,b,5,7090
jrnd,30,6,5,cma,b,6,6930
jrnd,30,6,5,cma,b,7,6604
jrnd,30,6,5,cma,b,8,6634
jrnd,30,6,5,cma,b,9,6520
jrnd,30,6,5,cma,b,10,6194
jrnd,30,6,5,cma,b,11,6054
jrnd,30,6,5,cma,b,12,5924
jrnd,30,6,5,cma,b,13,5770
jrnd,30,6,5,cma,b,14,5514
jrnd,30,6,5,cma,b,15,5552
jrnd,30,6,5,cma,b,16,5334
jrnd,30,6,5,cma,b,17,5180
jrnd,30,6,5,cma,b,18,4932
jrnd,30,6,5,cma,b,19,4680
jrnd,30,6,5,cma,b,20,4598
jrnd,30,6,5,cma,b,21,4416
jrnd,30,6,5,cma,b,22,3972
jrnd,30,6,5,cma,b,23,3598
jrnd,30,6,5,cma,b,24,3024
jrnd,30,6,5,cma,b,25,2174
jrnd,30,6,5,cma,b,26,1318
jrnd,30,6,5,cma,b,27,564
jrnd,30,6,5,cma,b,28,152
jrnd,30,6,5,cma,b,29,16
jrnd,30,6,5,cma,b,30,0
jrnd,30,6,5,cma,f,1,5140
jrnd,30,6,5,cma,f,2,5130
jrnd,30,6,5,cma,f,3,5116
jrnd,30,6,5,cma,f,4,5198
jrnd,30,6,5,cma,f,5,5244
jrnd,30,6,5,cma,f,6,5188
jrnd,30,6,5,cma,f,7,5040
jrnd,30,6,5,cma,f,8,5028
jrnd,30,6,5,cma,f,9,4946
jrnd,30,6,5,cma,f,10,4786
jrnd,30,6,5,cma,f,11,4700
jrnd,30,6,5,cma,f,12,4692
jrnd,30,6,5,cma,f,13,4534
jrnd,30,6,5,cma,f,14,4414
jrnd,30,6,5,cma,f,15,4348
jrnd,30,6,5,cma,f,16,4310
jrnd,30,6,5,cma,f,17,4186
jrnd,30,6,5,cma,f,18,4040
jrnd,30,6,5,cma,f,19,3834
jrnd,30,6,5,cma,f,20,3880
jrnd,30,6,5,cma,f,21,3650
jrnd,30,6,5,cma,f,22,3318
jrnd,30,6,5,cma,f,23,3090
jrnd,30,6,5,cma,f,24,2676
jrnd,30,6,5,cma,f,25,2072
jrnd,30,6,5,cma,f,26,1272
jrnd,30,6,5,cma,f,27,562
jrnd,30,6,5,cma,f,28,152
jrnd,30,6,5,cma,f,29,16
jrnd,30,6,5,cma,f,30,0
jrnd,30,6,5,cma,p,1,4550
jrnd,30,6,5,cma,p,2,4580
jrnd,30,6,5,cma,p,3,4650
jrnd,30,6,5,cma,p,4,4680
jrnd,30,6,5,cma,p,5,4650
jrnd,30,6,5,cma,p,6,4610
jrnd,30,6,5,cma,p,7,4510
jrnd,30,6,5,cma,p,8,4550
jrnd,30,6,5,cma,p,9,4440
jrnd,30,6,5,cma,p,10,4290
jrnd,30,6,5,cma,p,11,4250
jrnd,30,6,5,cma,p,12,4280
jrnd,30,6,5,cma,p,13,4070
jrnd,30,6,5,cma,p,14,4020
jrnd,30,6,5,cma,p,15,4026
jrnd,30,6,5,cma,p,16,3950
jrnd,30,6,5,cma,p,17,3898
jrnd,30,6,5,cma,p,18,3774
jrnd,30,6,5,cma,p,19,3592
jrnd,30,6,5,cma,p,20,3708
jrnd,30,6,5,cma,p,21,3506
jrnd,30,6,5,cma,p,22,3254
jrnd,30,6,5,cma,p,23,3058
jrnd,30,6,5,cma,p,24,2666
jrnd,30,6,5,cma,p,25,2066
jrnd,30,6,5,cma,p,26,1272
jrnd,30,6,5,cma,p,27,562
jrnd,30,6,5,cma,p,28,152
jrnd,30,6,5,cma,p,29,16
jrnd,30,6,5,cma,p,30,0
jrnd,30,6,5,mwr,b,1,6632
jrnd,30,6,5,mwr,b,2,6520
jrnd,30,6,5,mwr,b,3,6276
jrnd,30,6,5,mwr,b,4,6260
jrnd,30,6,5,mwr,b,5,6146
jrnd,30,6,5,mwr,b,6,6202
jrnd,30,6,5,mwr,b,7,6102
jrnd,30,6,5,mwr,b,8,6074
jrnd,30,6,5,mwr,b,9,5966
jrnd,30,6,5,mwr,b,10,5678
jrnd,30,6,5,mwr,b,11,5684
jrnd,30,6,5,mwr,b,12,5646
jrnd,30,6,5,mwr,b,13,5558
jrnd,30,6,5,mwr,b,14,5368
jrnd,30,6,5,mwr,b,15,5248
jrnd,30,6,5,mwr,b,16,5076
jrnd,30,6,5,mwr,b,17,4988
jrnd,30,6,5,mwr,b,18,4906
jrnd,30,6,5,mwr,b,19,4756
jrnd,30,6,5,mwr,b,20,4998
jrnd,30,6,5,mwr,b,21,5022
jrnd,30,6,5,mwr,b,22,4940
jrnd,30,6,5,mwr,b,23,4686
jrnd,30,6,5,mwr,b,24,4344
jrnd,30,6,5,mwr,b,25,3984
jrnd,30,6,5,mwr,b,26,1812
jrnd,30,6,5,mwr,b,27,730
jrnd,30,6,5,mwr,b,28,228
jrnd,30,6,5,mwr,b,29,22
jrnd,30,6,5,mwr,b,30,0
jrnd,30,6,5,mwr,f,1,5140
jrnd,30,6,5,mwr,f,2,5156
jrnd,30,6,5,mwr,f,3,4906
jrnd,30,6,5,mwr,f,4,4990
jrnd,30,6,5,mwr,f,5,4928
jrnd,30,6,5,mwr,f,6,4808
jrnd,30,6,5,mwr,f,7,4782
jrnd,30,6,5,mwr,f,8,4752
jrnd,30,6,5,mwr,f,9,4726
jrnd,30,6,5,mwr,f,10,4518
jrnd,30,6,5,mwr,f,11,4506
jrnd,30,6,5,mwr,f,12,4474
jrnd,30,6,5,mwr,f,13,4374
jrnd,30,6,5,mwr,f,14,4302
jrnd,30,6,5,mwr,f,15,4240
jrnd,30,6,5,mwr,f,16,4106
jrnd,30,6,5,mwr,f,17,4006
jrnd,30,6,5,mwr,f,18,3980
jrnd,30,6,5,mwr,f,19,3882
jrnd,30,6,5,mwr,f,20,4060
jrnd,30,6,5,mwr,f,21,4070
jrnd,30,6,5,mwr,f,22,3952
jrnd,30,6,5,mwr,f,23,3766
jrnd,30,6,5,mwr,f,24,3478
jrnd,30,6,5,mwr,f,25,3116
jrnd,30,6,5,mwr,f,26,1568
jrnd,30,6,5,mwr,f,27,680
jrnd,30,6,5,mwr,f,28,228
jrnd,30,6,5,mwr,f,29,22
jrnd,30,6,5,mwr,f,30,0
jrnd,30,6,5,mwr,p,1,4550
jrnd,30,6,5,mwr,p,2,4510
